Transaction_ID,User_ID,Transaction_Type,Amount,Category,Date
1,1477,Deposit,407.55667164092176,Income,2020-01-01
2,1477,Withdrawal,578.6355638518248,Groceries,2020-01-08
3,1477,Withdrawal,777.1113186426518,Savings,2020-01-15
4,1477,Withdrawal,665.9077169784442,Rent,2020-01-22
5,1477,Deposit,496.35151314284883,Income,2020-01-29
6,1477,Withdrawal,891.53154666526,Dining Out,2020-02-05
7,1477,Withdrawal,983.0440357695501,Groceries,2020-02-12
8,1477,Withdrawal,608.6755594281298,Utilities,2020-02-19
9,1477,Deposit,655.3578429886664,Income,2020-02-26
10,1477,Withdrawal,595.8334454345644,Rent,2020-03-04
11,1477,Withdrawal,283.80330260933226,Rent,2020-03-11
12,1477,Withdrawal,982.4585716787777,Savings,2020-03-18
13,1477,Deposit,601.8937106780434,Income,2020-03-25
14,1477,Withdrawal,456.4188739012395,Rent,2020-04-01
15,1477,Withdrawal,125.55035967398418,Savings,2020-04-08
16,1477,Withdrawal,259.5472957476661,Travel,2020-04-15
17,1477,Deposit,525.9668613253963,Income,2020-04-22
18,1477,Withdrawal,458.7691647527312,Dining Out,2020-04-29
19,1477,Withdrawal,438.15546106517337,Groceries,2020-05-06
20,1477,Withdrawal,571.9086893784414,Rent,2020-05-13
21,1477,Deposit,527.4059290419427,Income,2020-05-20
22,1477,Withdrawal,336.533912802961,Entertainment,2020-05-27
23,1477,Withdrawal,446.6739964991145,Travel,2020-06-03
24,1477,Withdrawal,899.9229257742799,Utilities,2020-06-10
25,1477,Deposit,671.6083910651519,Income,2020-06-17
26,1477,Withdrawal,714.2849231846427,Rent,2020-06-24
27,1477,Withdrawal,736.713187645744,Utilities,2020-07-01
28,1477,Withdrawal,273.2338300605301,Savings,2020-07-08
29,1477,Deposit,638.4008358504269,Income,2020-07-15
30,1477,Withdrawal,250.96216874247816,Travel,2020-07-22
31,1477,Withdrawal,233.29526809801112,Entertainment,2020-07-29
32,1477,Withdrawal,162.16586559419432,Groceries,2020-08-05
33,1477,Deposit,397.45273486546654,Income,2020-08-12
34,1477,Withdrawal,260.1818714557928,Rent,2020-08-19
35,1477,Withdrawal,69.90777717932725,Dining Out,2020-08-26
36,1477,Withdrawal,686.5520961485752,Travel,2020-09-02
37,1477,Deposit,668.441526461631,Income,2020-09-09
38,1477,Withdrawal,954.3259641400655,Rent,2020-09-16
39,1477,Withdrawal,865.9117450685734,Dining Out,2020-09-23
40,1477,Withdrawal,356.49648058583495,Travel,2020-09-30
41,1477,Deposit,388.38490841117044,Income,2020-10-07
42,1477,Withdrawal,797.0296247394998,Dining Out,2020-10-14
43,1477,Withdrawal,291.66584089772084,Utilities,2020-10-21
44,1477,Withdrawal,218.27160751748087,Travel,2020-10-28
45,1477,Deposit,628.6328099189687,Income,2020-11-04
46,1477,Withdrawal,797.9259699113146,Travel,2020-11-11
47,1477,Withdrawal,849.5426047334628,Groceries,2020-11-18
48,1477,Withdrawal,280.6099143407029,Rent,2020-11-25
49,1477,Deposit,554.0869570060097,Income,2020-12-02
50,1477,Withdrawal,893.758403283258,Groceries,2020-12-09
51,1477,Withdrawal,60.64845472164589,Dining Out,2020-12-16
52,1477,Withdrawal,160.47012724069182,Groceries,2020-12-23
53,1477,Deposit,632.0294588724925,Income,2020-12-30
54,1477,Withdrawal,226.9415257542941,Savings,2021-01-06
55,1477,Withdrawal,468.0728562262975,Groceries,2021-01-13
56,1477,Withdrawal,661.3663559809308,Groceries,2021-01-20
57,1477,Deposit,489.4346106468613,Income,2021-01-27
58,1477,Withdrawal,172.71419655885103,Utilities,2021-02-03
59,1477,Withdrawal,723.8810384004172,Groceries,2021-02-10
60,1477,Withdrawal,246.83406056710155,Savings,2021-02-17
61,1477,Deposit,473.0673007624538,Income,2021-02-24
62,1477,Withdrawal,308.8630369335928,Utilities,2021-03-03
63,1477,Withdrawal,591.5157883628776,Rent,2021-03-10
64,1477,Withdrawal,529.0748030358718,Groceries,2021-03-17
65,1477,Deposit,521.0546383408644,Income,2021-03-24
66,1477,Withdrawal,234.81751476685346,Utilities,2021-03-31
67,1477,Withdrawal,652.8494682124838,Groceries,2021-04-07
68,1477,Withdrawal,289.41091818726557,Rent,2021-04-14
69,1477,Deposit,667.338445130687,Income,2021-04-21
70,1477,Withdrawal,813.6803645111348,Dining Out,2021-04-28
71,1477,Withdrawal,244.2095670142062,Rent,2021-05-05
72,1477,Withdrawal,287.97304749558975,Utilities,2021-05-12
73,1477,Deposit,651.5858874588462,Income,2021-05-19
74,1477,Withdrawal,498.38374269061654,Dining Out,2021-05-26
75,1477,Withdrawal,189.4427278837041,Rent,2021-06-02
76,1477,Withdrawal,529.6211170726665,Dining Out,2021-06-09
77,1477,Deposit,446.2008605040511,Income,2021-06-16
78,1477,Withdrawal,306.50695866464537,Rent,2021-06-23
79,1477,Withdrawal,276.34764057513814,Groceries,2021-06-30
80,1477,Withdrawal,400.01674427854056,Groceries,2021-07-07
81,1477,Deposit,539.3102734637233,Income,2021-07-14
82,1477,Withdrawal,665.2689618689664,Dining Out,2021-07-21
83,1477,Withdrawal,524.7547119082556,Dining Out,2021-07-28
84,1477,Withdrawal,397.2883254006625,Rent,2021-08-04
85,1477,Deposit,514.0097621561681,Income,2021-08-11
86,1477,Withdrawal,806.2596094862047,Savings,2021-08-18
87,1477,Withdrawal,223.66391381629674,Savings,2021-08-25
88,1477,Withdrawal,838.5602350933284,Entertainment,2021-09-01
89,1477,Deposit,465.35281887561905,Income,2021-09-08
90,1477,Withdrawal,689.9694222662231,Rent,2021-09-15
91,1477,Withdrawal,905.046308721504,Savings,2021-09-22
92,1477,Withdrawal,912.0040018028607,Rent,2021-09-29
93,1477,Deposit,409.1233402164153,Income,2021-10-06
94,1477,Withdrawal,681.6098946818964,Rent,2021-10-13
95,1477,Withdrawal,93.37518242611374,Entertainment,2021-10-20
96,1477,Withdrawal,400.1535147922595,Groceries,2021-10-27
97,1477,Deposit,597.0231581328018,Income,2021-11-03
98,1477,Withdrawal,334.7287759036821,Dining Out,2021-11-10
99,1477,Withdrawal,227.1305694412939,Utilities,2021-11-17
100,1477,Withdrawal,750.1918812061651,Entertainment,2021-11-24
101,1477,Deposit,554.0360517132705,Income,2021-12-01
102,1477,Withdrawal,317.38101476506483,Groceries,2021-12-08
103,1477,Withdrawal,133.83874012128177,Entertainment,2021-12-15
104,1477,Withdrawal,866.3149871533717,Rent,2021-12-22
105,1477,Deposit,528.4141062415642,Income,2021-12-29
106,1477,Withdrawal,821.1770258054147,Rent,2022-01-05
107,1477,Withdrawal,598.4997322697576,Savings,2022-01-12
108,1477,Withdrawal,245.85687873141964,Groceries,2022-01-19
109,1477,Deposit,647.5820838955398,Income,2022-01-26
110,1477,Withdrawal,629.5552247844666,Rent,2022-02-02
111,1477,Withdrawal,416.55110573039894,Travel,2022-02-09
112,1477,Withdrawal,368.6872288556779,Savings,2022-02-16
113,1477,Deposit,503.22128384619634,Income,2022-02-23
114,1477,Withdrawal,531.3847868244347,Savings,2022-03-02
115,1477,Withdrawal,882.2451996032349,Groceries,2022-03-09
116,1477,Withdrawal,540.5263302999738,Entertainment,2022-03-16
117,1477,Deposit,573.1610076114648,Income,2022-03-23
118,1477,Withdrawal,83.34053875686993,Entertainment,2022-03-30
119,1477,Withdrawal,888.283985383039,Dining Out,2022-04-06
120,1477,Withdrawal,616.798783258682,Rent,2022-04-13
121,1477,Deposit,469.28142468620933,Income,2022-04-20
122,1477,Withdrawal,336.47732031172865,Utilities,2022-04-27
123,1477,Withdrawal,577.5736777607057,Savings,2022-05-04
124,1477,Withdrawal,608.1583459508952,Rent,2022-05-11
125,1477,Deposit,644.4151968853344,Income,2022-05-18
126,1477,Withdrawal,951.1266895523505,Rent,2022-05-25
127,1477,Withdrawal,654.2077367426645,Groceries,2022-06-01
128,1477,Withdrawal,997.1363147523695,Travel,2022-06-08
129,1477,Deposit,664.4849296773853,Income,2022-06-15
130,1477,Withdrawal,259.10055528458577,Utilities,2022-06-22
131,1477,Withdrawal,854.9549838625037,Dining Out,2022-06-29
132,1477,Withdrawal,493.0086156221038,Savings,2022-07-06
133,1477,Deposit,410.3857228693793,Income,2022-07-13
134,1477,Withdrawal,748.8386575686085,Savings,2022-07-20
135,1477,Withdrawal,472.156553860326,Utilities,2022-07-27
136,1477,Withdrawal,879.3903633671899,Savings,2022-08-03
137,1477,Deposit,402.69747213974495,Income,2022-08-10
138,1477,Withdrawal,176.37745059094567,Savings,2022-08-17
139,1477,Withdrawal,106.52673991975902,Utilities,2022-08-24
140,1477,Withdrawal,786.2945692553687,Groceries,2022-08-31
141,1477,Deposit,514.2322267273963,Income,2022-09-07
142,1477,Withdrawal,505.52572256799345,Groceries,2022-09-14
143,1477,Withdrawal,152.59493094936968,Groceries,2022-09-21
144,1477,Withdrawal,530.2199935554293,Savings,2022-09-28
145,1477,Deposit,420.02825670453234,Income,2022-10-05
146,1477,Withdrawal,947.0524697267582,Entertainment,2022-10-12
147,1477,Withdrawal,231.87390452796566,Entertainment,2022-10-19
148,1477,Withdrawal,813.839483204554,Rent,2022-10-26
149,1477,Deposit,507.81854208646433,Income,2022-11-02
150,1477,Withdrawal,981.164747045717,Rent,2022-11-09
151,1477,Withdrawal,908.9682683983832,Dining Out,2022-11-16
152,1477,Withdrawal,534.7568415802907,Travel,2022-11-23
153,1477,Deposit,529.6821776384172,Income,2022-11-30
154,1477,Withdrawal,994.0259215137262,Travel,2022-12-07
155,1477,Withdrawal,396.88114016066277,Utilities,2022-12-14
156,1477,Withdrawal,297.99682711494916,Entertainment,2022-12-21
157,1477,Deposit,655.508720472902,Income,2022-12-28
158,1477,Withdrawal,278.48974241662563,Utilities,2023-01-04
159,1477,Withdrawal,460.45199518889285,Entertainment,2023-01-11
160,1477,Withdrawal,859.0831275911538,Savings,2023-01-18
161,1477,Deposit,577.7668312889684,Income,2023-01-25
162,1477,Withdrawal,886.6902049627638,Savings,2023-02-01
163,1477,Withdrawal,429.85675326598084,Rent,2023-02-08
164,1477,Withdrawal,749.7848196274991,Dining Out,2023-02-15
165,1477,Deposit,478.125628149014,Income,2023-02-22
166,1477,Withdrawal,331.591454110561,Rent,2023-03-01
167,1477,Withdrawal,129.77521221223827,Travel,2023-03-08
168,1477,Withdrawal,618.6807010004779,Dining Out,2023-03-15
169,1477,Deposit,586.2158632858643,Income,2023-03-22
170,1477,Withdrawal,436.5094599822981,Groceries,2023-03-29
171,1477,Withdrawal,525.6519437172291,Rent,2023-04-05
172,1477,Withdrawal,61.03348951828558,Utilities,2023-04-12
173,1477,Deposit,635.8713022057748,Income,2023-04-19
174,1477,Withdrawal,204.3449717218291,Dining Out,2023-04-26
175,1477,Withdrawal,468.5401582124917,Entertainment,2023-05-03
176,1477,Withdrawal,381.2583381595973,Entertainment,2023-05-10
177,1477,Deposit,493.81833795189556,Income,2023-05-17
178,1477,Withdrawal,932.9875760165806,Savings,2023-05-24
179,1477,Withdrawal,596.091387061983,Travel,2023-05-31
180,1477,Withdrawal,141.00356775220143,Travel,2023-06-07
181,1477,Deposit,392.89771625433514,Income,2023-06-14
182,1477,Withdrawal,585.2214820948226,Dining Out,2023-06-21
183,1477,Withdrawal,87.36514952690716,Groceries,2023-06-28
184,1477,Withdrawal,154.0072474672257,Travel,2023-07-05
185,1477,Deposit,482.8973359508134,Income,2023-07-12
186,1477,Withdrawal,822.4742219292959,Rent,2023-07-19
187,1477,Withdrawal,284.26515390922253,Utilities,2023-07-26
188,1477,Withdrawal,119.4491329482912,Groceries,2023-08-02
189,1477,Deposit,532.902415684037,Income,2023-08-09
190,1477,Withdrawal,118.73169447932428,Rent,2023-08-16
191,1477,Withdrawal,958.4996610419303,Savings,2023-08-23
192,1477,Withdrawal,367.4598046342266,Rent,2023-08-30
193,1477,Deposit,617.2305980844696,Income,2023-09-06
194,1477,Withdrawal,882.351228237435,Rent,2023-09-13
195,1477,Withdrawal,225.15661310645302,Rent,2023-09-20
196,1477,Withdrawal,352.58678910914546,Entertainment,2023-09-27
197,1477,Deposit,663.5068856663178,Income,2023-10-04
198,1477,Withdrawal,982.841881837821,Travel,2023-10-11
199,1477,Withdrawal,185.12512871737755,Rent,2023-10-18
200,1477,Withdrawal,370.5219256198938,Groceries,2023-10-25
201,1477,Deposit,391.0140952359068,Income,2023-11-01
202,1477,Withdrawal,663.9361039389763,Dining Out,2023-11-08
203,1477,Withdrawal,60.69606414082418,Utilities,2023-11-15
204,1477,Withdrawal,290.2057671621553,Savings,2023-11-22
205,1477,Deposit,588.999231925946,Income,2023-11-29
206,1477,Withdrawal,337.39996549726584,Entertainment,2023-12-06
207,1477,Withdrawal,657.8098240023654,Groceries,2023-12-13
208,1477,Withdrawal,134.64761103125508,Groceries,2023-12-20
209,1477,Deposit,434.3665327578034,Income,2023-12-27
210,1477,Withdrawal,813.6525702195132,Rent,2024-01-03
211,1477,Withdrawal,615.9748561269278,Utilities,2024-01-10
212,1477,Withdrawal,243.66208585116436,Travel,2024-01-17
213,1477,Deposit,540.7878213796934,Income,2024-01-24
214,1477,Withdrawal,861.9879997592614,Savings,2024-01-31
215,1477,Withdrawal,127.46266980170286,Dining Out,2024-02-07
216,1477,Withdrawal,624.1891885543264,Groceries,2024-02-14
217,1477,Deposit,409.67261759299396,Income,2024-02-21
218,1477,Withdrawal,334.3698510563844,Entertainment,2024-02-28
219,1477,Withdrawal,886.5561723245698,Utilities,2024-03-06
220,1477,Withdrawal,509.33350268574407,Savings,2024-03-13
221,1477,Deposit,666.1225677970207,Income,2024-03-20
222,1477,Withdrawal,945.4516939046738,Rent,2024-03-27
223,1477,Withdrawal,94.06275234868359,Rent,2024-04-03
224,1477,Withdrawal,864.1494849602884,Groceries,2024-04-10
225,1477,Deposit,429.64104290138397,Income,2024-04-17
226,1477,Withdrawal,807.7365555214121,Dining Out,2024-04-24
227,1477,Withdrawal,822.0331020230053,Travel,2024-05-01
228,1477,Withdrawal,146.79861941628502,Travel,2024-05-08
229,1477,Deposit,530.3899791951409,Income,2024-05-15
230,1477,Withdrawal,897.9261893890693,Rent,2024-05-22
231,1477,Withdrawal,656.4677474283384,Entertainment,2024-05-29
232,1477,Withdrawal,378.3219124196327,Savings,2024-06-05
233,1477,Deposit,421.45508404047166,Income,2024-06-12
234,1477,Withdrawal,821.8743327750861,Rent,2024-06-19
235,1477,Withdrawal,716.6011895470793,Dining Out,2024-06-26
236,1477,Withdrawal,427.7919581507314,Entertainment,2024-07-03
237,1477,Deposit,470.3119752930031,Income,2024-07-10
238,1477,Withdrawal,471.43557620707674,Utilities,2024-07-17
239,1477,Withdrawal,373.8372586410622,Groceries,2024-07-24
240,1477,Withdrawal,485.973888809465,Travel,2024-07-31
241,1477,Deposit,636.4525094645988,Income,2024-08-07
242,1477,Withdrawal,396.00920350451605,Entertainment,2024-08-14
243,1477,Withdrawal,207.2485373242895,Dining Out,2024-08-21
244,1477,Withdrawal,149.3257618453203,Utilities,2024-08-28
245,1477,Deposit,477.03823518351805,Income,2024-09-04
246,1477,Withdrawal,997.4997896907192,Groceries,2024-09-11
247,1477,Withdrawal,659.4837967100976,Travel,2024-09-18
248,1477,Withdrawal,641.8891897309729,Rent,2024-09-25
249,1477,Deposit,451.13558704533455,Income,2024-10-02
250,1477,Withdrawal,337.793872620617,Rent,2024-10-09
251,1477,Withdrawal,953.1576855380006,Savings,2024-10-16
252,1477,Withdrawal,336.1687047704379,Utilities,2024-10-23
253,1477,Deposit,475.43364539710973,Income,2024-10-30
254,1477,Withdrawal,770.8097342555434,Savings,2024-11-06
255,1477,Withdrawal,646.867557575171,Utilities,2024-11-13
256,1477,Withdrawal,524.355265943831,Rent,2024-11-20
257,1477,Deposit,557.1625803193325,Income,2024-11-27
258,1477,Withdrawal,992.6232130127883,Groceries,2024-12-04
259,1477,Withdrawal,560.3600648244641,Groceries,2024-12-11
260,1477,Withdrawal,714.5722932319957,Dining Out,2024-12-18
261,1477,Deposit,584.4336965448765,Income,2024-12-25
